fact_id,type,external_or_internal,question,answer,dr_question
DI007_pdf,distractor,internal,What was Lee's Market employee turnover rate in Q3 2024?,Employee turnover rate averaged 12% with a high of 15%.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI007_roundcube,distractor,internal,How many Lee's Market stores underwent renovations in Q2 2024?,"Twenty-five stores were renovated, with an average cost of $200,000.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI008_docx,distractor,internal,What is the average employee tenure in Q1 2025?,"Average employee tenure was 2.5 years, with 35% of employees having 1-2 years of service.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI008_pdf,distractor,internal,What were Lee's Market facility maintenance costs in Q2 2024?,"Facility maintenance costs totaled $1.2M with an average of $100,000 monthly.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI008_roundcube,distractor,internal,What was Lee's Market workers' compensation claims rate in Q1 2024?,The workers' compensation claims rate decreased to 2.1% from 2.5%.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI009_docx,distractor,internal,How many IT infrastructure upgrades were completed in Q4 2024?,"Four IT infrastructure upgrades were completed in Q4 2024, with an average cost of $75,000 per upgrade.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI009_pdf,distractor,internal,What percentage of Lee's Market employees completed IT training in Q1 2024?,About 85% of employees completed IT training with a 90% pass rate.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI009_roundcube,distractor,internal,What was Lee's Market employee training budget in Q3 2023?,"Lee's Market allocated $450,000 for employee training, a 15% increase.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI010_docx,distractor,internal,What was the average time to resolve HR-related issues in Q1 2025?,Average time to resolve HR-related issues in Q1 2025 was 5.3 days.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI010_xlsx,distractor,internal,What was Lee's Market IT budget in Q2 2024?,"IT budget was $2.5M, with $1M allocated to cybersecurity.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI011_xlsx,distractor,internal,How many employees attended compliance training in Q1 2024?,Around 300 employees completed compliance training in Q1 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI012_xlsx,distractor,internal,What were Lee's Market marketing expenses in Q3 2024?,Marketing expenses totaled $3M with digital ads accounting for $1.2M.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI013_xlsx,distractor,internal,What were Lee's Market IT costs in Q4 2024?,"IT costs totaled $3.4M, with $1.2M on new hardware.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI014_xlsx,distractor,internal,How many employees completed safety training in Q1 2025?,Around 250 employees completed the safety training program.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI015_xlsx,distractor,internal,What was employee turnover rate in Q1 2025?,"Employee turnover was 10%, maintaining a stable workforce.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN001,supporting,internal,How many customer queries does Lee's Market receive monthly in 2024?,"Lee's Market receives an average of 50,000 customer queries per month in 2024.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN001_pdf,supporting,internal,Chatbot adoption rate among centennials by Q2 2024?,40% centennials prefer chatbots by Q2 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN001_pptx,supporting,internal,Centennial satisfaction improvement by Q3 2025?,Satisfaction improved by 30% with chatbot use by Q3 2025.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN002,supporting,internal,What percentage of Lee's Market customers are centennial shoppers in Q3 2024?,25% of Lee's Market customers are centennial shoppers as of Q3 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN002_pdf,supporting,internal,Projected chatbot cost savings in Q2 2024?,Expect 25% cost reduction by Q2 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN002_pptx,supporting,internal,Chatbot adoption rate Q1 2025?,55% adoption rate by centennials by Q1 2025.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN003_docx,supporting,internal,What percentage of our centennial shoppers have interacted with our customer service team in the past 6 months?,45% of our centennial shoppers have contacted our customer service team in the past 6 months.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN003_pdf,supporting,internal,Centennial satisfaction increase from chatbots by Q2 2024?,Satisfaction rises by 15% by Q2 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN004_docx,supporting,internal,How many customer service inquiries do we receive from centennial shoppers on average per quarter?,"2,500 customer service inquiries from centennial shoppers are received on average per quarter.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN004_pdf,supporting,internal,Centennial chatbot engagement rate by Q3 2025?,50% centennials engage weekly by Q3 2025.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN005_docx,supporting,internal,What is the average time-to-resolve for customer service issues reported by centennial shoppers in Q2 2025?,Average time-to-resolve for customer service issues reported by centennial shoppers in Q2 2025 was 2 hours and 15 minutes.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN005_xlsx,supporting,internal,What was Lee's Market customer service call volume in Q2 2024?,"Customer service call volume averaged 5,000 calls per month in Q2 2024.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN006_xlsx,supporting,internal,How many Lee's Market customers used online shopping services in Q1 2024?,"About 30% of customers used online shopping services, totaling 150,000 users in Q1 2024.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN007_xlsx,supporting,internal,What was Lee's Market customer satisfaction rating for phone support in Q3 2023?,Customer satisfaction rating for phone support averaged 80% with a 5% drop in Q3 2023.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN009_roundcube,supporting,internal,What percentage of Lee's Market customers have used online shopping services in Q3 2023?,"45% of Lee's Market customers have used online shopping services, with a 10% increase from Q3 2022.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
IN010_roundcube,supporting,internal,What is the average resolution rate of Lee's Market customer inquiries via chat in Q2 2024?,85% of customer inquiries were resolved via chat within 30 minutes.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
